actor_id,actor_name,rank,Label
368,斯坦·李,14,actor
369,钱小豪,14,actor
370,林心如,14,actor
371,约翰·马尔科维奇,14,actor
372,杰夫·贝内特,14,actor
373,科洛·莫瑞兹,14,actor
374,林熙蕾,14,actor
375,西格妮·韦弗,13,actor
376,约翰·拉岑贝格,13,actor
377,奥克塔维亚·斯宾瑟,13,actor
378,艾伦·图代克,13,actor
379,陈冲,13,actor
380,艾玛·沃森,13,actor
381,约翰·克里斯,13,actor
382,伊利亚·伍德,13,actor
383,奥兰多·布鲁姆,13,actor
384,伊恩·麦克莱恩,13,actor
385,托马斯·克莱舒曼,13,actor
386,陈坤,13,actor
387,廖凡,13,actor
388,基努·里维斯,13,actor
389,伊桑·霍克,13,actor
390,大卫·休里斯,13,actor
391,西尔莎·罗南,13,actor
392,朱咪咪,13,actor
393,松冈茉优,13,actor
394,耿乐,13,actor
395,刘兆铭,13,actor
396,杨恭如,13,actor
397,迈克尔·基顿,13,actor
398,沃尔顿·戈金斯,13,actor
399,布莱丹·格里森,13,actor
400,藤原釜足,13,actor
401,土屋嘉男,13,actor
402,弗兰西斯·麦克多蒙德,13,actor
403,山口胜平,13,actor
404,戴立忍,13,actor
405,查理兹·塞隆,13,actor
406,杰曼·翰苏,13,actor
407,艾伦,13,actor
408,雷佳音,13,actor
409,方力申,13,actor
410,太保,13,actor
411,余皑磊,13,actor
412,李小龙,13,actor
413,英格丽·褒曼,13,actor
414,欧豪,13,actor
415,楼南光,13,actor
416,陈龙,13,actor
417,秦昊,13,actor
418,李若彤,13,actor
419,本·斯蒂勒,13,actor
420,刘若英,13,actor
421,何华超,13,actor
422,郭京飞,13,actor
423,朱丽安·摩尔,13,actor
424,孙俪,13,actor
425,骆应钧,13,actor
426,刘亦菲,13,actor
427,詹姆斯·弗兰科,13,actor
428,叶童,13,actor
429,钟汉良,13,actor
430,赵薇,13,actor
431,迈克尔·帕帕约翰,13,actor
432,帕特里克·斯图尔特,13,actor
433,仓田保昭,13,actor
434,米娅·法罗,13,actor
435,狄威,13,actor
436,雷宇扬,13,actor
437,英达,12,actor
438,罗宾·怀特,12,actor
439,莱昂纳多·迪卡普里奥,12,actor
440,约瑟夫·高登-莱维特,12,actor
441,玛丽昂·歌迪亚,12,actor
