真爱至上 Love Actually,8.6,,,,,,,
冰川时代 Ice Age,8.6,,,,,,,
雨中曲 Singin' in the Rain,9.1,,,,,,,
恐怖游轮 Triangle,8.5,,,,,,,
你看起来好像很好吃 おまえうまそうだな,8.9,,,,,,,
黑天鹅 Black Swan,8.6,,,,,,,
2001太空漫游 2001: A Space Odyssey,8.9,,,,,,,
魔女宅急便 魔女の宅急便,8.7,,,,,,,
雨人 Rain Man,8.7,,,,,,,
恋恋笔记本 The Notebook,8.6,,,,,,,
无间道2 無間道II,8.7,,,,,,,
遗愿清单 The Bucket List,8.7,,,,,,,
牯岭街少年杀人事件 牯嶺街少年殺人事件,8.9,,,,,,,
大佛普拉斯,8.7,,,,,,,
可可西里,8.9,,,,,,,
城市之光 City Lights,9.3,,,,,,,
背靠背，脸对脸,9.5,,,,,,,
小丑 Joker,8.7,,,,,,,
萤火虫之墓 火垂るの墓,8.7,,,,,,,
东京教父 東京ゴッドファーザーズ,9.0,,,,,,,
源代码 Source Code,8.5,,,,,,,
虎口脱险 La grande vadrouille,8.9,,,,,,,
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,8.5,,,,,,,
人工智能 Artificial Intelligence: AI,8.7,,,,,,,
海边的曼彻斯特 Manchester by the Sea,8.6,,,,,,,
罗生门 羅生門,8.8,,,,,,,
青蛇,8.6,,,,,,,
终结者2：审判日 Terminator 2: Judgment Day,8.8,,,,,,,
波西米亚狂想曲 Bohemian Rhapsody,8.6,,,,,,,
奇迹男孩 Wonder,8.6,,,,,,,
二十二,8.7,,,,,,,
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.6,,,,,,,
新龙门客栈 新龍門客棧,8.7,,,,,,,
心灵奇旅 Soul,8.7,,,,,,,
房间 Room,8.8,,,,,,,
无耻混蛋 Inglourious Basterds,8.6,,,,,,,
千钧一发 Gattaca,8.8,,,,,,,
血钻 Blood Diamond,8.7,,,,,,,
步履不停 歩いても 歩いても,8.8,,,,,,,
魂断蓝桥 Waterloo Bridge,8.8,,,,,,,
黑客帝国2：重装上阵 The Matrix Reloaded,8.7,,,,,,,
彗星来的那一夜 Coherence,8.5,,,,,,,
崖上的波妞 崖の上のポニョ,8.6,,,,,,,
战争之王 Lord of War,8.7,,,,,,,
爱乐之城 La La Land,8.4,,,,,,,
谍影重重2 The Bourne Supremacy,8.7,,,,,,,
燃情岁月 Legends of the Fall,8.8,,,,,,,
末路狂花 Thelma & Louise,8.9,,,,,,,
火星救援 The Martian,8.5,,,,,,,
阿飞正传 阿飛正傳,8.5,,,,,,,
谍影重重 The Bourne Identity,8.6,,,,,,,
再次出发之纽约遇见你 Begin Again,8.6,,,,,,,
海洋 Océans,9.1,,,,,,,
千年女优 千年女優,8.8,,,,,,,
朗读者 The Reader,8.6,,,,,,,
穿越时空的少女 時をかける少女,8.6,,,,,,,
香水 Perfume: The Story of a Murderer,8.5,,,,,,,
地球上的星星 Taare Zameen Par,8.9,,,,,,,
我爱你 그대를 사랑합니다,9.1,,,,,,,
完美陌生人 Perfetti sconosciuti,8.5,,,,,,,
弱点 The Blind Side,8.7,,,,,,,
花束般的恋爱 花束みたいな恋をした,8.6,,,,,,,
驴得水,8.3,,,,,,,
雾都孤儿 Oliver!,8.3,,,,,,,
勾魂慑魄 Histoires extraordinaires,7.3,,,,,,,
隐入尘烟,8.4,,,,,,,
铁血战士：猎物 Prey,6.5,,,,,,,
三艳嬉春 Boccaccio '70,7.8,,,,,,,
一周的朋友,4.5,,,,,,,
分手的决心 헤어질 결심,7.7,,,,,,,
骗子 Il bidone,8.1,,,,,,,
理查三世 Richard III,7.7,,,,,,,
马兰飞人 馬蘭飛人,,,,,,,,
心灵访客 Finding Forrester,8.0,,,,,,,
美国女孩 美國女孩,7.3,,,,,,,
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,7.1,,,,,,,
浪荡儿 I vitelloni,8.4,,,,,,,
智齿 智齒,7.2,,,,,,,
英格玛·伯格曼拍电影 Ingmar Bergman gör en film,8.3,,,,,,,
常在你左右,5.0,,,,,,,
一秒拳王,6.5,,,,,,,
沉默 Tystnaden,8.3,,,,,,,
阴阳路19：我对眼见到嘢,4.6,,,,,,,
冬日之光 Nattvardsgästerna,8.3,,,,,,,

一个字头的诞生 一個字頭的誕生,8.3,,,,,,,
光年正传 Lightyear,6.8,,,,,,,
阴阳路16：回到武侠时代,4.6,,,,,,,
汤姆·琼斯 Tom Jones,6.6,,,,,,,
玛丽娅·布劳恩的婚姻 Die Ehe der Maria Braun,8.3,,,,,,,
血证 血証,,,,,,,,
特朗勃 Trumbo,7.8,,,,,,,
茶馆,9.5,,,,,,,
侏罗纪世界3 Jurassic World: Dominion,6.1,,,,,,,
阴阳路15：客似魂来,5.5,,,,,,,
暗恋·橘生淮南,4.2,,,,,,,
掮客 브로커,6.7,,,,,,,
阴阳路14：双鬼拍门,4.6,,,,,,,
背靠背，脸对脸,9.5,,,,,,,
金粉世界 Gigi,6.7,,,,,,,
终站 Stazione Termini,7.3,,,,,,,
阴阳路13：花鬼,4.9,,,,,,,
胜者即是正义 リーガル・ハイ,9.4,,,,,,,
风烛泪 Umberto D.,8.6,,,,,,,
恐惧吞噬灵魂 Angst essen Seele auf,8.5,,,,,,,
恋情三千里 戀情三千里,,,,,,,,
四重唱 Quartet,8.1,,,,,,,
神女,9.1,,,,,,,
败犬：后篇 アンダードッグ 後編,7.3,,,,,,,
阴阳路9：命转乾坤,4.9,,,,,,,
边缘行者,5.0,,,,,,,
败犬：前篇 アンダードッグ 前編,7.6,,,,,,,
阴阳路8：棺材仔 陰陽路八之棺材仔,5.2,,,,,,,
盲山,8.7,,,,,,,
由宇子的天平 由宇子の天秤,7.7,,,,,,,
阴阳路7：撞到正,5.7,,,,,,,
夜与雾 Nuit et brouillard,9.3,,,,,,,
梅山收七怪,5.5,,,,,,,
无人引航 Rudderless,8.1,,,,,,,
小戏骨：白蛇传,8.3,,,,,,,
蝴蝶结 Ribbon,6.9,,,,,,,
阴阳路2：我在你左右,6.6,,,,,,,
那山那人那狗,8.7,,,,,,,
刺猬索尼克2 Sonic the Hedgehog 2,5.7,,,,,,,
阴阳路 陰陽路,6.8,,,,,,,
